SN_name,redshift,x1_stretch,distance_modulus,mu_error,H0
PTSS17-niq,0.06897,-0.597985,37.2817,0.174144,72.30043810566205
1993B,0.07023,-0.323197,37.2944,0.277681,73.19195900615115
2008Y,0.07056,-0.281662,37.2961,0.226908,73.4783296378009
2008Y,0.07056,-0.607813,37.2775,0.212322,74.11042009144802
PS16em,0.07083,-0.938437,37.4814,0.447068,67.72639274075364
PS15bdr,0.07116,-2.30724,37.3552,0.196012,72.11351128419814
370566,0.07167,-0.201739,37.4155,0.208957,70.64120639156697
2007jd,0.07222,-0.876053,37.6319,0.199695,64.43149183215456
PS15atx,0.07252,-1.43738,37.6225,0.304764,64.97981915851426
1992ae,0.0744,-0.748829,37.4346,0.222054,72.68982753988153
PS17bii,0.07446,-0.890865,37.4501,0.192118,72.23101785107154
AT2016gsu,0.07575,-1.91024,37.5461,0.217171,70.30453499618685
560033,0.07895,-0.248002,37.5988,0.503338,71.5175844166476
12779,0.07906,-0.63006,37.7843,0.238199,65.75329379711026
PS15bzz,0.07931,-0.914595,37.53,0.147217,74.15640246518366
350316,0.07991,-0.427538,37.6003,0.157805,72.33722320952904
12950,0.08167,-0.396496,37.7215,0.219648,69.91707618146629
130308,0.08245,-1.01914,37.8192,0.217606,67.47942339172519
12898,0.08282,-0.063567,37.6774,0.265638,72.35622975051707
12781,0.08309,-1.83569,37.9939,0.195118,62.746493645212446
3592,0.08572,-0.153731,37.8406,0.128563,69.46769123498271
1241,0.0887,-0.551806,37.7772,0.253181,74.01237195832404
370066,0.09089,-0.081354,38.0269,0.167553,67.60157375157875
