SN_name,redshift,x1_stretch,distance_modulus,mu_error
2006bq,0.0227,-1.67036,34.8693,0.2033
2002ef,0.02273,-0.546957,34.6849,0.358325
2010cr,0.02295,-1.41732,35.2685,0.304874
2000cn,0.02298,-2.47558,34.9992,0.267367
2000cn,0.02298,-2.56473,34.9712,0.237284
2009jb,0.02307,-0.07521,34.7666,0.340338
2014ai,0.02313,-1.00094,35.0225,0.271221
ASASSN-14fa,0.02316,-1.93908,34.883,0.27497
2004at,0.02321,-0.046048,34.9168,0.178524
2007ci,0.02331,-2.4632,34.6478,0.266962
2007ci,0.02331,-2.79197,34.4301,0.279423
2009al,0.02342,-0.148779,35.0081,0.221692
2009al,0.02342,-0.486661,34.9783,0.225403
ASASSN-15tz,0.02365,-1.51814,34.9543,0.274039
2010ao,0.02369,-0.432206,34.943,0.2098
2006sr,0.02388,-1.36612,34.9949,0.180801
ASASSN-15jt,0.0239,-2.32675,34.889,0.403697
1998eg,0.02401,-0.498481,35.1018,0.195014
2010gp,0.02411,-0.512147,34.4711,0.398476
2000bh,0.02412,-0.112692,34.8782,0.224067
1993H,0.02428,-2.04912,35.1803,0.232251
2006ac,0.02432,-0.782527,34.9871,0.184147
2006ac,0.02432,-0.998087,34.953,0.198064
1994M,0.02464,-1.42754,34.9528,0.213795
ASASSN-16hz,0.02466,-0.271228,34.8112,0.317595
2007cq,0.0251,-0.13142,34.8369,0.288042
2007cq,0.0251,-0.689247,34.8482,0.181918
2003it,0.0251,-1.5665,35.079,0.205996
2007cq,0.0251,-0.3274,35.009,0.176889
AT2017cfc,0.02512,-0.915129,35.0276,0.190198
2012bh,0.02517,-0.412737,35.1989,0.238281
370356,0.02517,-0.288703,35.2277,0.204374
2002he,0.02519,-1.65619,35.1139,0.15531
2002he,0.02519,-1.66703,35.1145,0.174825
2002bf,0.02525,-2.2722,34.9441,0.240723
2002bf,0.02525,-0.318008,34.9063,0.269066
ASASSN-16bq,0.02534,-1.67717,35.1882,0.176701
PSNJ0153424,0.02556,-0.609377,35.1828,0.233724
1992ag,0.02585,-0.676962,34.7664,0.344692
PSNJ2352371,0.02596,-2.03886,35.4014,0.200491
SN2017mf,0.02598,-0.158018,35.3111,0.17873
2005mc,0.02626,-1.91661,35.2855,0.288909
2005mc,0.02626,-2.6789,35.3429,0.323231
ASASSN-15mf,0.02695,-1.14563,35.1184,0.181369
ASASSN-17at,0.02713,-1.46792,35.2513,0.18676
SNF20071021-000,0.02714,-0.784696,35.3224,0.216057
2007co,0.02731,-0.065862,35.3437,0.230789
